2019-10-01 09:34:23,150 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'as_path': [], 'nexthop': None, 'origin': 2}}
2019-10-01 09:34:33,166 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'as_path': [5], 'nexthop': '10.0.20.1', 'origin': 2}}
2019-10-01 09:34:43,182 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'as_path': [], 'nexthop': None, 'origin': 2}}
2019-10-01 09:34:53,195 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'as_path': [5], 'nexthop': '10.0.20.1', 'origin': 2}}
2019-10-01 09:35:03,215 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'as_path': [], 'nexthop': None, 'origin': 2}}
2019-10-01 09:35:13,230 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'as_path': [5], 'nexthop': '10.0.20.1', 'origin': 2}}
2019-10-01 09:35:23,245 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'as_path': [], 'nexthop': None, 'origin': 2}}
2019-10-01 09:35:33,252 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'as_path': [5], 'nexthop': '10.0.20.1', 'origin': 2}}
2019-10-01 09:35:43,269 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'as_path': [], 'nexthop': None, 'origin': 2}}
2019-10-01 09:35:53,272 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'as_path': [5], 'nexthop': '10.0.20.1', 'origin': 2}}
2019-10-01 09:36:03,288 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'as_path': [], 'nexthop': None, 'origin': 2}}
2019-10-01 09:36:13,308 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'as_path': [5], 'nexthop': '10.0.20.1', 'origin': 2}}
2019-10-01 09:36:23,326 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'as_path': [], 'nexthop': None, 'origin': 2}}
2019-10-01 09:36:33,346 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'as_path': [5], 'nexthop': '10.0.20.1', 'origin': 2}}
2019-10-01 09:36:43,365 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'as_path': [], 'nexthop': None, 'origin': 2}}
2019-10-01 09:36:53,386 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'as_path': [5], 'nexthop': '10.0.20.1', 'origin': 2}}
2019-10-01 09:37:03,402 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'as_path': [], 'nexthop': None, 'origin': 2}}
2019-10-01 09:37:13,417 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'as_path': [5], 'nexthop': '10.0.20.1', 'origin': 2}}
2019-10-01 09:37:23,432 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'as_path': [], 'nexthop': None, 'origin': 2}}
2019-10-01 09:37:33,450 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'as_path': [5], 'nexthop': '10.0.20.1', 'origin': 2}}
2019-10-01 09:37:43,465 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'as_path': [], 'nexthop': None, 'origin': 2}}
2019-10-01 09:37:53,480 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'as_path': [5], 'nexthop': '10.0.20.1', 'origin': 2}}
2019-10-01 09:38:03,496 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'as_path': [], 'nexthop': None, 'origin': 2}}
2019-10-01 09:38:13,513 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'as_path': [5], 'nexthop': '10.0.20.1', 'origin': 2}}
2019-10-01 09:38:23,528 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'as_path': [], 'nexthop': None, 'origin': 2}}
2019-10-01 09:38:33,546 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'as_path': [5], 'nexthop': '10.0.20.1', 'origin': 2}}
2019-10-01 09:38:43,562 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'as_path': [], 'nexthop': None, 'origin': 2}}
2019-10-01 09:38:53,578 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'as_path': [5], 'nexthop': '10.0.20.1', 'origin': 2}}
