2019-09-24 17:49:55,252 bgpreplay INFO {'attr': {'local_pref': None, 'as_path': [], 'nexthop': None}, 'withdraw': ['1.0.0.0/24'], 'nlri': []}
2019-09-24 17:50:00,262 bgpreplay INFO {'attr': {'local_pref': 250, 'as_path': [1], 'nexthop': '10.0.30.1'}, 'withdraw': [], 'nlri': ['1.0.0.0/24']}
2019-09-24 17:50:05,270 bgpreplay INFO {'attr': {'local_pref': None, 'as_path': [], 'nexthop': None}, 'withdraw': ['1.0.0.0/24'], 'nlri': []}
2019-09-24 17:50:10,277 bgpreplay INFO {'attr': {'local_pref': 250, 'as_path': [1], 'nexthop': '10.0.30.1'}, 'withdraw': [], 'nlri': ['1.0.0.0/24']}
2019-09-24 17:50:15,287 bgpreplay INFO {'attr': {'local_pref': None, 'as_path': [], 'nexthop': None}, 'withdraw': ['1.0.0.0/24'], 'nlri': []}
2019-09-24 17:50:20,296 bgpreplay INFO {'attr': {'local_pref': 250, 'as_path': [1], 'nexthop': '10.0.30.1'}, 'withdraw': [], 'nlri': ['1.0.0.0/24']}
2019-09-24 17:50:25,303 bgpreplay INFO {'attr': {'local_pref': None, 'as_path': [], 'nexthop': None}, 'withdraw': ['1.0.0.0/24'], 'nlri': []}
2019-09-24 17:50:30,313 bgpreplay INFO {'attr': {'local_pref': 250, 'as_path': [1], 'nexthop': '10.0.30.1'}, 'withdraw': [], 'nlri': ['1.0.0.0/24']}
2019-09-24 17:50:35,322 bgpreplay INFO {'attr': {'local_pref': None, 'as_path': [], 'nexthop': None}, 'withdraw': ['1.0.0.0/24'], 'nlri': []}
2019-09-24 17:50:40,330 bgpreplay INFO {'attr': {'local_pref': 250, 'as_path': [1], 'nexthop': '10.0.30.1'}, 'withdraw': [], 'nlri': ['1.0.0.0/24']}
2019-09-24 17:50:45,338 bgpreplay INFO {'attr': {'local_pref': None, 'as_path': [], 'nexthop': None}, 'withdraw': ['1.0.0.0/24'], 'nlri': []}
2019-09-24 17:50:50,347 bgpreplay INFO {'attr': {'local_pref': 250, 'as_path': [1], 'nexthop': '10.0.30.1'}, 'withdraw': [], 'nlri': ['1.0.0.0/24']}
2019-09-24 17:50:55,356 bgpreplay INFO {'attr': {'local_pref': None, 'as_path': [], 'nexthop': None}, 'withdraw': ['1.0.0.0/24'], 'nlri': []}
2019-09-24 17:51:00,366 bgpreplay INFO {'attr': {'local_pref': 250, 'as_path': [1], 'nexthop': '10.0.30.1'}, 'withdraw': [], 'nlri': ['1.0.0.0/24']}
2019-09-24 17:51:05,375 bgpreplay INFO {'attr': {'local_pref': None, 'as_path': [], 'nexthop': None}, 'withdraw': ['1.0.0.0/24'], 'nlri': []}
2019-09-24 17:51:10,383 bgpreplay INFO {'attr': {'local_pref': 250, 'as_path': [1], 'nexthop': '10.0.30.1'}, 'withdraw': [], 'nlri': ['1.0.0.0/24']}
2019-09-24 17:51:15,396 bgpreplay INFO {'attr': {'local_pref': None, 'as_path': [], 'nexthop': None}, 'withdraw': ['1.0.0.0/24'], 'nlri': []}
