2019-09-30 17:19:10,796 bgpreplay INFO {'attr': {'origin': 2, 'nexthop': '10.0.20.1', 'local_pref': 150, 'as_path': [5]}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-09-30 17:19:15,804 bgpreplay INFO {'attr': {'origin': 2, 'nexthop': None, 'local_pref': None, 'as_path': []}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-09-30 17:19:20,813 bgpreplay INFO {'attr': {'origin': 2, 'nexthop': '10.0.20.1', 'local_pref': 150, 'as_path': [5]}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-09-30 17:19:25,822 bgpreplay INFO {'attr': {'origin': 2, 'nexthop': None, 'local_pref': None, 'as_path': []}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-09-30 17:19:30,830 bgpreplay INFO {'attr': {'origin': 2, 'nexthop': '10.0.20.1', 'local_pref': 150, 'as_path': [5]}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-09-30 17:19:35,839 bgpreplay INFO {'attr': {'origin': 2, 'nexthop': None, 'local_pref': None, 'as_path': []}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-09-30 17:19:40,848 bgpreplay INFO {'attr': {'origin': 2, 'nexthop': '10.0.20.1', 'local_pref': 150, 'as_path': [5]}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-09-30 17:19:45,856 bgpreplay INFO {'attr': {'origin': 2, 'nexthop': None, 'local_pref': None, 'as_path': []}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-09-30 17:19:50,865 bgpreplay INFO {'attr': {'origin': 2, 'nexthop': '10.0.20.1', 'local_pref': 150, 'as_path': [5]}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-09-30 17:19:55,874 bgpreplay INFO {'attr': {'origin': 2, 'nexthop': None, 'local_pref': None, 'as_path': []}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-09-30 17:20:00,882 bgpreplay INFO {'attr': {'origin': 2, 'nexthop': '10.0.20.1', 'local_pref': 150, 'as_path': [5]}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-09-30 17:20:05,891 bgpreplay INFO {'attr': {'origin': 2, 'nexthop': None, 'local_pref': None, 'as_path': []}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-09-30 17:20:10,899 bgpreplay INFO {'attr': {'origin': 2, 'nexthop': '10.0.20.1', 'local_pref': 150, 'as_path': [5]}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-09-30 17:20:15,907 bgpreplay INFO {'attr': {'origin': 2, 'nexthop': None, 'local_pref': None, 'as_path': []}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-09-30 17:20:20,916 bgpreplay INFO {'attr': {'origin': 2, 'nexthop': '10.0.20.1', 'local_pref': 150, 'as_path': [5]}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-09-30 17:20:25,924 bgpreplay INFO {'attr': {'origin': 2, 'nexthop': None, 'local_pref': None, 'as_path': []}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-09-30 17:20:30,932 bgpreplay INFO {'attr': {'origin': 2, 'nexthop': '10.0.20.1', 'local_pref': 150, 'as_path': [5]}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-09-30 17:20:35,942 bgpreplay INFO {'attr': {'origin': 2, 'nexthop': None, 'local_pref': None, 'as_path': []}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-09-30 17:20:40,956 bgpreplay INFO {'attr': {'origin': 2, 'nexthop': '10.0.20.1', 'local_pref': 150, 'as_path': [5]}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
