2019-09-23 18:29:34,597 bgpreplay INFO {'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}, 'nlri': ['1.0.0.0/24'], 'withdraw': []}
2019-09-23 18:29:39,606 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}, 'nlri': [], 'withdraw': ['1.0.0.0/24']}
2019-09-23 18:29:44,614 bgpreplay INFO {'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}, 'nlri': ['1.0.0.0/24'], 'withdraw': []}
2019-09-23 18:29:49,623 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}, 'nlri': [], 'withdraw': ['1.0.0.0/24']}
2019-09-23 18:29:54,631 bgpreplay INFO {'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}, 'nlri': ['1.0.0.0/24'], 'withdraw': []}
2019-09-23 18:29:59,640 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}, 'nlri': [], 'withdraw': ['1.0.0.0/24']}
2019-09-23 18:30:04,649 bgpreplay INFO {'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}, 'nlri': ['1.0.0.0/24'], 'withdraw': []}
2019-09-23 18:30:09,657 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}, 'nlri': [], 'withdraw': ['1.0.0.0/24']}
2019-09-23 18:30:14,666 bgpreplay INFO {'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}, 'nlri': ['1.0.0.0/24'], 'withdraw': []}
2019-09-23 18:30:19,675 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}, 'nlri': [], 'withdraw': ['1.0.0.0/24']}
2019-09-23 18:30:24,691 bgpreplay INFO {'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}, 'nlri': ['1.0.0.0/24'], 'withdraw': []}
2019-09-23 18:30:29,705 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}, 'nlri': [], 'withdraw': ['1.0.0.0/24']}
2019-09-23 18:30:34,713 bgpreplay INFO {'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}, 'nlri': ['1.0.0.0/24'], 'withdraw': []}
2019-09-23 18:30:39,721 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}, 'nlri': [], 'withdraw': ['1.0.0.0/24']}
2019-09-23 18:30:44,730 bgpreplay INFO {'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}, 'nlri': ['1.0.0.0/24'], 'withdraw': []}
2019-09-23 18:30:49,740 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}, 'nlri': [], 'withdraw': ['1.0.0.0/24']}
2019-09-23 18:30:54,749 bgpreplay INFO {'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}, 'nlri': ['1.0.0.0/24'], 'withdraw': []}
2019-09-23 18:30:59,762 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}, 'nlri': [], 'withdraw': ['1.0.0.0/24']}
2019-09-23 18:31:04,777 bgpreplay INFO {'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}, 'nlri': ['1.0.0.0/24'], 'withdraw': []}
2019-09-23 18:31:09,786 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}, 'nlri': [], 'withdraw': ['1.0.0.0/24']}
2019-09-23 18:31:14,801 bgpreplay INFO {'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}, 'nlri': ['1.0.0.0/24'], 'withdraw': []}
2019-09-23 18:31:19,814 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}, 'nlri': [], 'withdraw': ['1.0.0.0/24']}
2019-09-23 18:31:24,824 bgpreplay INFO {'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}, 'nlri': ['1.0.0.0/24'], 'withdraw': []}
2019-09-23 18:31:29,840 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}, 'nlri': [], 'withdraw': ['1.0.0.0/24']}
2019-09-23 18:31:34,852 bgpreplay INFO {'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}, 'nlri': ['1.0.0.0/24'], 'withdraw': []}
2019-09-23 18:31:39,861 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}, 'nlri': [], 'withdraw': ['1.0.0.0/24']}
2019-09-23 18:31:44,877 bgpreplay INFO {'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}, 'nlri': ['1.0.0.0/24'], 'withdraw': []}
2019-09-23 18:31:49,888 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}, 'nlri': [], 'withdraw': ['1.0.0.0/24']}
2019-09-23 18:31:54,901 bgpreplay INFO {'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}, 'nlri': ['1.0.0.0/24'], 'withdraw': []}
2019-09-23 18:31:59,910 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}, 'nlri': [], 'withdraw': ['1.0.0.0/24']}
2019-09-23 18:32:04,926 bgpreplay INFO {'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}, 'nlri': ['1.0.0.0/24'], 'withdraw': []}
2019-09-23 18:32:09,934 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}, 'nlri': [], 'withdraw': ['1.0.0.0/24']}
2019-09-23 18:32:14,943 bgpreplay INFO {'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}, 'nlri': ['1.0.0.0/24'], 'withdraw': []}
2019-09-23 18:32:19,957 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}, 'nlri': [], 'withdraw': ['1.0.0.0/24']}
2019-09-23 18:32:24,969 bgpreplay INFO {'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}, 'nlri': ['1.0.0.0/24'], 'withdraw': []}
2019-09-23 18:32:29,983 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}, 'nlri': [], 'withdraw': ['1.0.0.0/24']}
2019-09-23 18:32:34,992 bgpreplay INFO {'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}, 'nlri': ['1.0.0.0/24'], 'withdraw': []}
2019-09-23 18:32:40,008 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}, 'nlri': [], 'withdraw': ['1.0.0.0/24']}
2019-09-23 18:32:45,022 bgpreplay INFO {'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}, 'nlri': ['1.0.0.0/24'], 'withdraw': []}
2019-09-23 18:32:50,031 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}, 'nlri': [], 'withdraw': ['1.0.0.0/24']}
2019-09-23 18:32:55,047 bgpreplay INFO {'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}, 'nlri': ['1.0.0.0/24'], 'withdraw': []}
2019-09-23 18:33:00,060 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}, 'nlri': [], 'withdraw': ['1.0.0.0/24']}
2019-09-23 18:33:05,068 bgpreplay INFO {'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}, 'nlri': ['1.0.0.0/24'], 'withdraw': []}
2019-09-23 18:33:10,084 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}, 'nlri': [], 'withdraw': ['1.0.0.0/24']}
2019-09-23 18:33:15,094 bgpreplay INFO {'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}, 'nlri': ['1.0.0.0/24'], 'withdraw': []}
2019-09-23 18:33:20,103 bgpreplay INFO {'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}, 'nlri': [], 'withdraw': ['1.0.0.0/24']}
