2019-10-01 07:45:57,554 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'as_path': [5], 'origin': 2}}
2019-10-01 07:46:02,563 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': [], 'origin': 2}}
2019-10-01 07:46:07,577 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'as_path': [5], 'origin': 2}}
2019-10-01 07:46:12,586 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': [], 'origin': 2}}
2019-10-01 07:46:17,593 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'as_path': [5], 'origin': 2}}
2019-10-01 07:46:22,602 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': [], 'origin': 2}}
2019-10-01 07:46:27,608 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'as_path': [5], 'origin': 2}}
2019-10-01 07:46:32,617 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': [], 'origin': 2}}
2019-10-01 07:46:37,631 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'as_path': [5], 'origin': 2}}
2019-10-01 07:46:42,644 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': [], 'origin': 2}}
2019-10-01 07:46:47,652 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'as_path': [5], 'origin': 2}}
2019-10-01 07:46:52,662 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': [], 'origin': 2}}
2019-10-01 07:46:57,672 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'as_path': [5], 'origin': 2}}
2019-10-01 07:47:02,683 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': [], 'origin': 2}}
2019-10-01 07:47:07,696 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'as_path': [5], 'origin': 2}}
2019-10-01 07:47:12,706 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': [], 'origin': 2}}
