2019-10-13 14:56:05,176 bgpreplay INFO {'attr': {'as_path': [5], 'nexthop': '10.0.20.1', 'origin': 2, 'local_pref': 100}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-13 14:56:20,197 bgpreplay INFO {'attr': {'as_path': [], 'nexthop': None, 'origin': 2, 'local_pref': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-13 14:56:35,219 bgpreplay INFO {'attr': {'as_path': [5], 'nexthop': '10.0.20.1', 'origin': 2, 'local_pref': 100}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-13 14:56:50,240 bgpreplay INFO {'attr': {'as_path': [], 'nexthop': None, 'origin': 2, 'local_pref': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-13 14:57:05,261 bgpreplay INFO {'attr': {'as_path': [5], 'nexthop': '10.0.20.1', 'origin': 2, 'local_pref': 100}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-13 14:57:20,281 bgpreplay INFO {'attr': {'as_path': [], 'nexthop': None, 'origin': 2, 'local_pref': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-13 14:57:35,306 bgpreplay INFO {'attr': {'as_path': [5], 'nexthop': '10.0.20.1', 'origin': 2, 'local_pref': 100}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-13 14:57:50,326 bgpreplay INFO {'attr': {'as_path': [], 'nexthop': None, 'origin': 2, 'local_pref': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-13 14:58:05,351 bgpreplay INFO {'attr': {'as_path': [5], 'nexthop': '10.0.20.1', 'origin': 2, 'local_pref': 100}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-13 14:58:20,370 bgpreplay INFO {'attr': {'as_path': [], 'nexthop': None, 'origin': 2, 'local_pref': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-13 14:58:35,390 bgpreplay INFO {'attr': {'as_path': [5], 'nexthop': '10.0.20.1', 'origin': 2, 'local_pref': 100}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-13 14:58:50,408 bgpreplay INFO {'attr': {'as_path': [], 'nexthop': None, 'origin': 2, 'local_pref': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-13 14:59:05,431 bgpreplay INFO {'attr': {'as_path': [5], 'nexthop': '10.0.20.1', 'origin': 2, 'local_pref': 100}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-13 14:59:20,452 bgpreplay INFO {'attr': {'as_path': [], 'nexthop': None, 'origin': 2, 'local_pref': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-13 14:59:35,473 bgpreplay INFO {'attr': {'as_path': [5], 'nexthop': '10.0.20.1', 'origin': 2, 'local_pref': 100}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-13 14:59:50,496 bgpreplay INFO {'attr': {'as_path': [], 'nexthop': None, 'origin': 2, 'local_pref': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
