2019-10-01 19:55:53,452 bgpreplay INFO {'attr': {'local_pref': None, 'origin': 2, 'nexthop': None, 'as_path': []}, 'nlri': [], 'withdraw': ['1.2.2.0/24']}
2019-10-01 19:56:08,471 bgpreplay INFO {'attr': {'local_pref': 100, 'origin': 2, 'nexthop': '10.0.20.1', 'as_path': [5]}, 'nlri': ['1.2.2.0/24'], 'withdraw': []}
2019-10-01 19:56:23,490 bgpreplay INFO {'attr': {'local_pref': None, 'origin': 2, 'nexthop': None, 'as_path': []}, 'nlri': [], 'withdraw': ['1.2.2.0/24']}
2019-10-01 19:56:38,509 bgpreplay INFO {'attr': {'local_pref': 100, 'origin': 2, 'nexthop': '10.0.20.1', 'as_path': [5]}, 'nlri': ['1.2.2.0/24'], 'withdraw': []}
2019-10-01 19:56:53,514 bgpreplay INFO {'attr': {'local_pref': None, 'origin': 2, 'nexthop': None, 'as_path': []}, 'nlri': [], 'withdraw': ['1.2.2.0/24']}
2019-10-01 19:57:08,534 bgpreplay INFO {'attr': {'local_pref': 100, 'origin': 2, 'nexthop': '10.0.20.1', 'as_path': [5]}, 'nlri': ['1.2.2.0/24'], 'withdraw': []}
2019-10-01 19:57:23,553 bgpreplay INFO {'attr': {'local_pref': None, 'origin': 2, 'nexthop': None, 'as_path': []}, 'nlri': [], 'withdraw': ['1.2.2.0/24']}
2019-10-01 19:57:38,571 bgpreplay INFO {'attr': {'local_pref': 100, 'origin': 2, 'nexthop': '10.0.20.1', 'as_path': [5]}, 'nlri': ['1.2.2.0/24'], 'withdraw': []}
2019-10-01 19:57:53,591 bgpreplay INFO {'attr': {'local_pref': None, 'origin': 2, 'nexthop': None, 'as_path': []}, 'nlri': [], 'withdraw': ['1.2.2.0/24']}
2019-10-01 19:58:08,596 bgpreplay INFO {'attr': {'local_pref': 100, 'origin': 2, 'nexthop': '10.0.20.1', 'as_path': [5]}, 'nlri': ['1.2.2.0/24'], 'withdraw': []}
2019-10-01 19:58:23,614 bgpreplay INFO {'attr': {'local_pref': None, 'origin': 2, 'nexthop': None, 'as_path': []}, 'nlri': [], 'withdraw': ['1.2.2.0/24']}
2019-10-01 19:58:38,634 bgpreplay INFO {'attr': {'local_pref': 100, 'origin': 2, 'nexthop': '10.0.20.1', 'as_path': [5]}, 'nlri': ['1.2.2.0/24'], 'withdraw': []}
2019-10-01 19:58:53,652 bgpreplay INFO {'attr': {'local_pref': None, 'origin': 2, 'nexthop': None, 'as_path': []}, 'nlri': [], 'withdraw': ['1.2.2.0/24']}
2019-10-01 19:59:08,674 bgpreplay INFO {'attr': {'local_pref': 100, 'origin': 2, 'nexthop': '10.0.20.1', 'as_path': [5]}, 'nlri': ['1.2.2.0/24'], 'withdraw': []}
2019-10-01 19:59:23,694 bgpreplay INFO {'attr': {'local_pref': None, 'origin': 2, 'nexthop': None, 'as_path': []}, 'nlri': [], 'withdraw': ['1.2.2.0/24']}
2019-10-01 19:59:38,716 bgpreplay INFO {'attr': {'local_pref': 100, 'origin': 2, 'nexthop': '10.0.20.1', 'as_path': [5]}, 'nlri': ['1.2.2.0/24'], 'withdraw': []}
2019-10-01 19:59:53,732 bgpreplay INFO {'attr': {'local_pref': None, 'origin': 2, 'nexthop': None, 'as_path': []}, 'nlri': [], 'withdraw': ['1.2.2.0/24']}
2019-10-01 20:00:08,754 bgpreplay INFO {'attr': {'local_pref': 100, 'origin': 2, 'nexthop': '10.0.20.1', 'as_path': [5]}, 'nlri': ['1.2.2.0/24'], 'withdraw': []}
2019-10-01 20:00:23,775 bgpreplay INFO {'attr': {'local_pref': None, 'origin': 2, 'nexthop': None, 'as_path': []}, 'nlri': [], 'withdraw': ['1.2.2.0/24']}
2019-10-01 20:00:38,790 bgpreplay INFO {'attr': {'local_pref': 100, 'origin': 2, 'nexthop': '10.0.20.1', 'as_path': [5]}, 'nlri': ['1.2.2.0/24'], 'withdraw': []}
2019-10-01 20:00:53,805 bgpreplay INFO {'attr': {'local_pref': None, 'origin': 2, 'nexthop': None, 'as_path': []}, 'nlri': [], 'withdraw': ['1.2.2.0/24']}
