2019-10-01 17:12:07,092 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'nexthop': None, 'as_path': [], 'local_pref': None, 'origin': 2}}
2019-10-01 17:12:27,117 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'nexthop': '10.0.20.1', 'as_path': [5], 'local_pref': 150, 'origin': 2}}
2019-10-01 17:12:47,142 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'nexthop': None, 'as_path': [], 'local_pref': None, 'origin': 2}}
2019-10-01 17:13:07,168 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'nexthop': '10.0.20.1', 'as_path': [5], 'local_pref': 150, 'origin': 2}}
2019-10-01 17:13:27,191 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'nexthop': None, 'as_path': [], 'local_pref': None, 'origin': 2}}
2019-10-01 17:13:47,215 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'nexthop': '10.0.20.1', 'as_path': [5], 'local_pref': 150, 'origin': 2}}
2019-10-01 17:14:07,244 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'nexthop': None, 'as_path': [], 'local_pref': None, 'origin': 2}}
2019-10-01 17:14:27,272 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'nexthop': '10.0.20.1', 'as_path': [5], 'local_pref': 150, 'origin': 2}}
2019-10-01 17:14:47,298 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'nexthop': None, 'as_path': [], 'local_pref': None, 'origin': 2}}
2019-10-01 17:15:07,326 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'nexthop': '10.0.20.1', 'as_path': [5], 'local_pref': 150, 'origin': 2}}
2019-10-01 17:15:27,351 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'nexthop': None, 'as_path': [], 'local_pref': None, 'origin': 2}}
2019-10-01 17:15:47,378 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'nexthop': '10.0.20.1', 'as_path': [5], 'local_pref': 150, 'origin': 2}}
2019-10-01 17:16:07,400 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'nexthop': None, 'as_path': [], 'local_pref': None, 'origin': 2}}
2019-10-01 17:16:27,423 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'nexthop': '10.0.20.1', 'as_path': [5], 'local_pref': 150, 'origin': 2}}
2019-10-01 17:16:47,434 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'nexthop': None, 'as_path': [], 'local_pref': None, 'origin': 2}}
