2019-10-15 21:42:17,456 bgpreplay INFO {'attr': {'origin': 2, 'as_path': [], 'local_pref': None, 'nexthop': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-15 21:42:32,475 bgpreplay INFO {'attr': {'origin': 2, 'as_path': [5], 'local_pref': 100, 'nexthop': '10.0.20.1'}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-15 21:42:47,495 bgpreplay INFO {'attr': {'origin': 2, 'as_path': [], 'local_pref': None, 'nexthop': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-15 21:43:02,514 bgpreplay INFO {'attr': {'origin': 2, 'as_path': [5], 'local_pref': 100, 'nexthop': '10.0.20.1'}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-15 21:43:17,538 bgpreplay INFO {'attr': {'origin': 2, 'as_path': [], 'local_pref': None, 'nexthop': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-15 21:43:32,562 bgpreplay INFO {'attr': {'origin': 2, 'as_path': [5], 'local_pref': 100, 'nexthop': '10.0.20.1'}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-15 21:43:47,583 bgpreplay INFO {'attr': {'origin': 2, 'as_path': [], 'local_pref': None, 'nexthop': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-15 21:44:02,606 bgpreplay INFO {'attr': {'origin': 2, 'as_path': [5], 'local_pref': 100, 'nexthop': '10.0.20.1'}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-15 21:44:17,630 bgpreplay INFO {'attr': {'origin': 2, 'as_path': [], 'local_pref': None, 'nexthop': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-15 21:44:32,653 bgpreplay INFO {'attr': {'origin': 2, 'as_path': [5], 'local_pref': 100, 'nexthop': '10.0.20.1'}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-15 21:44:47,676 bgpreplay INFO {'attr': {'origin': 2, 'as_path': [], 'local_pref': None, 'nexthop': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-15 21:45:02,698 bgpreplay INFO {'attr': {'origin': 2, 'as_path': [5], 'local_pref': 100, 'nexthop': '10.0.20.1'}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-15 21:45:17,716 bgpreplay INFO {'attr': {'origin': 2, 'as_path': [], 'local_pref': None, 'nexthop': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-15 21:45:32,740 bgpreplay INFO {'attr': {'origin': 2, 'as_path': [5], 'local_pref': 100, 'nexthop': '10.0.20.1'}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-15 21:45:47,761 bgpreplay INFO {'attr': {'origin': 2, 'as_path': [], 'local_pref': None, 'nexthop': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-15 21:46:02,772 bgpreplay INFO {'attr': {'origin': 2, 'as_path': [5], 'local_pref': 100, 'nexthop': '10.0.20.1'}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-15 21:46:17,797 bgpreplay INFO {'attr': {'origin': 2, 'as_path': [], 'local_pref': None, 'nexthop': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-15 21:46:32,819 bgpreplay INFO {'attr': {'origin': 2, 'as_path': [5], 'local_pref': 100, 'nexthop': '10.0.20.1'}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-15 21:46:47,840 bgpreplay INFO {'attr': {'origin': 2, 'as_path': [], 'local_pref': None, 'nexthop': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
2019-10-15 21:47:02,860 bgpreplay INFO {'attr': {'origin': 2, 'as_path': [5], 'local_pref': 100, 'nexthop': '10.0.20.1'}, 'withdraw': [], 'nlri': ['1.2.2.0/24']}
2019-10-15 21:47:17,884 bgpreplay INFO {'attr': {'origin': 2, 'as_path': [], 'local_pref': None, 'nexthop': None}, 'withdraw': ['1.2.2.0/24'], 'nlri': []}
