2019-09-24 18:38:33,541 bgpreplay INFO {'withdraw': [], 'nlri': ['1.0.0.0/24'], 'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}}
2019-09-24 18:38:38,553 bgpreplay INFO {'withdraw': ['1.0.0.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}}
2019-09-24 18:38:43,564 bgpreplay INFO {'withdraw': [], 'nlri': ['1.0.0.0/24'], 'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}}
2019-09-24 18:38:48,573 bgpreplay INFO {'withdraw': ['1.0.0.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}}
2019-09-24 18:38:53,581 bgpreplay INFO {'withdraw': [], 'nlri': ['1.0.0.0/24'], 'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}}
2019-09-24 18:38:58,596 bgpreplay INFO {'withdraw': ['1.0.0.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}}
2019-09-24 18:39:03,611 bgpreplay INFO {'withdraw': [], 'nlri': ['1.0.0.0/24'], 'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}}
2019-09-24 18:39:08,619 bgpreplay INFO {'withdraw': ['1.0.0.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}}
2019-09-24 18:39:13,635 bgpreplay INFO {'withdraw': [], 'nlri': ['1.0.0.0/24'], 'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}}
2019-09-24 18:39:18,651 bgpreplay INFO {'withdraw': ['1.0.0.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}}
2019-09-24 18:39:23,665 bgpreplay INFO {'withdraw': [], 'nlri': ['1.0.0.0/24'], 'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}}
2019-09-24 18:39:28,674 bgpreplay INFO {'withdraw': ['1.0.0.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}}
2019-09-24 18:39:33,690 bgpreplay INFO {'withdraw': [], 'nlri': ['1.0.0.0/24'], 'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}}
2019-09-24 18:39:38,703 bgpreplay INFO {'withdraw': ['1.0.0.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}}
2019-09-24 18:39:43,712 bgpreplay INFO {'withdraw': [], 'nlri': ['1.0.0.0/24'], 'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}}
2019-09-24 18:39:48,726 bgpreplay INFO {'withdraw': ['1.0.0.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}}
2019-09-24 18:39:53,736 bgpreplay INFO {'withdraw': [], 'nlri': ['1.0.0.0/24'], 'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}}
2019-09-24 18:39:58,750 bgpreplay INFO {'withdraw': ['1.0.0.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}}
2019-09-24 18:40:03,759 bgpreplay INFO {'withdraw': [], 'nlri': ['1.0.0.0/24'], 'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}}
2019-09-24 18:40:08,771 bgpreplay INFO {'withdraw': ['1.0.0.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}}
2019-09-24 18:40:13,781 bgpreplay INFO {'withdraw': [], 'nlri': ['1.0.0.0/24'], 'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}}
2019-09-24 18:40:18,790 bgpreplay INFO {'withdraw': ['1.0.0.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}}
2019-09-24 18:40:23,801 bgpreplay INFO {'withdraw': [], 'nlri': ['1.0.0.0/24'], 'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}}
2019-09-24 18:40:28,816 bgpreplay INFO {'withdraw': ['1.0.0.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}}
2019-09-24 18:40:33,824 bgpreplay INFO {'withdraw': [], 'nlri': ['1.0.0.0/24'], 'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}}
2019-09-24 18:40:38,840 bgpreplay INFO {'withdraw': ['1.0.0.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}}
2019-09-24 18:40:43,851 bgpreplay INFO {'withdraw': [], 'nlri': ['1.0.0.0/24'], 'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}}
2019-09-24 18:40:48,866 bgpreplay INFO {'withdraw': ['1.0.0.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}}
2019-09-24 18:40:53,879 bgpreplay INFO {'withdraw': [], 'nlri': ['1.0.0.0/24'], 'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}}
2019-09-24 18:40:58,893 bgpreplay INFO {'withdraw': ['1.0.0.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}}
2019-09-24 18:41:03,902 bgpreplay INFO {'withdraw': [], 'nlri': ['1.0.0.0/24'], 'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}}
2019-09-24 18:41:08,915 bgpreplay INFO {'withdraw': ['1.0.0.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}}
2019-09-24 18:41:13,928 bgpreplay INFO {'withdraw': [], 'nlri': ['1.0.0.0/24'], 'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}}
2019-09-24 18:41:18,934 bgpreplay INFO {'withdraw': ['1.0.0.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}}
2019-09-24 18:41:23,951 bgpreplay INFO {'withdraw': [], 'nlri': ['1.0.0.0/24'], 'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}}
2019-09-24 18:41:28,963 bgpreplay INFO {'withdraw': ['1.0.0.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}}
2019-09-24 18:41:33,972 bgpreplay INFO {'withdraw': [], 'nlri': ['1.0.0.0/24'], 'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}}
2019-09-24 18:41:38,982 bgpreplay INFO {'withdraw': ['1.0.0.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}}
2019-09-24 18:41:43,994 bgpreplay INFO {'withdraw': [], 'nlri': ['1.0.0.0/24'], 'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}}
2019-09-24 18:41:49,008 bgpreplay INFO {'withdraw': ['1.0.0.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}}
2019-09-24 18:41:54,017 bgpreplay INFO {'withdraw': [], 'nlri': ['1.0.0.0/24'], 'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}}
2019-09-24 18:41:59,024 bgpreplay INFO {'withdraw': ['1.0.0.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}}
2019-09-24 18:42:04,037 bgpreplay INFO {'withdraw': [], 'nlri': ['1.0.0.0/24'], 'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}}
2019-09-24 18:42:09,047 bgpreplay INFO {'withdraw': ['1.0.0.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}}
2019-09-24 18:42:14,052 bgpreplay INFO {'withdraw': [], 'nlri': ['1.0.0.0/24'], 'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}}
2019-09-24 18:42:19,066 bgpreplay INFO {'withdraw': ['1.0.0.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}}
2019-09-24 18:42:24,076 bgpreplay INFO {'withdraw': [], 'nlri': ['1.0.0.0/24'], 'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}}
2019-09-24 18:42:29,090 bgpreplay INFO {'withdraw': ['1.0.0.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}}
2019-09-24 18:42:34,096 bgpreplay INFO {'withdraw': [], 'nlri': ['1.0.0.0/24'], 'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}}
2019-09-24 18:42:39,108 bgpreplay INFO {'withdraw': ['1.0.0.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}}
2019-09-24 18:42:44,120 bgpreplay INFO {'withdraw': [], 'nlri': ['1.0.0.0/24'], 'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}}
2019-09-24 18:42:49,128 bgpreplay INFO {'withdraw': ['1.0.0.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}}
2019-09-24 18:42:54,140 bgpreplay INFO {'withdraw': [], 'nlri': ['1.0.0.0/24'], 'attr': {'local_pref': 250, 'nexthop': '10.0.30.1', 'as_path': [1]}}
2019-09-24 18:42:59,150 bgpreplay INFO {'withdraw': ['1.0.0.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': []}}
